timestamp,open,high,low,close,volume
13-11-2019 09:00:00,71.8075,71.845,71.7775,71.7925,219512
13-11-2019 09:15:00,71.7925,71.8,71.78,71.7925,59252
13-11-2019 09:30:00,71.7925,71.8125,71.76,71.7625,57187
13-11-2019 09:45:00,71.76,71.765,71.735,71.7425,43048
13-11-2019 10:00:00,71.7425,71.78,71.7425,71.7775,45863
13-11-2019 10:15:00,71.775,71.8225,71.77,71.815,42460
13-11-2019 10:30:00,71.815,71.83,71.7775,71.78,62403
13-11-2019 10:45:00,71.775,71.7875,71.7475,71.7525,34090
13-11-2019 11:00:00,71.7525,71.7825,71.7475,71.7625,39320
13-11-2019 11:15:00,71.7625,71.7925,71.76,71.7875,20190
